"dataset"	"root_id"	"supervoxel_id"	"side"	"soma_division"	"class"	"type"	"synonyms"	"hemilineage"	"group"	"subclass"	"cell_id"
"FANC"	"648518346521560057"	"73256337462707069"	"L"	"brain"	"DN"	"DNfl039"	""	NA	"73537812439596268"	NA	"10246"
"FANC"	"648518346493883193"	"73115599907394308"	"L"	"brain"	"DN"	"DNfl040"	""	NA	"73115599907394308"	NA	"10052"
"FANC"	"648518346499168347"	"73608181116591718"	"R"	"brain"	"DN"	"DNfl040"	""	NA	"73115599907394308"	NA	"11256"
"FANC"	"648518346501642569"	"73608181250686556"	"R"	"brain"	"DN"	"DNfl041"	""	NA	"73185968718803933"	NA	"11217"
"FANC"	"648518346517833576"	"73185968718803933"	"L"	"brain"	"DN"	"DNfl041"	""	NA	"73185968718803933"	NA	"10110"
"FANC"	"648518346498878785"	"73608181183850109"	"R"	"brain"	"DN"	"DNfl042"	""	NA	"73185968718434117"	NA	"11267"
"FANC"	"648518346489960401"	"73185968718434117"	"L"	"brain"	"DN"	"DNfl042"	""	NA	"73185968718434117"	NA	"10088"
"FANC"	"648518346493685361"	"73185968651651937"	"L"	"brain"	"DN"	"DNfl993"	""	NA	"NO MATCH"	NA	"10074"
"FANC"	"648518346492679342"	"73678549793714525"	"R"	"brain"	"DN"	"DNfl994"	""	NA	"NO MATCH"	NA	"11336"
"FANC"	"648518346494061088"	"73185968651649621"	"L"	"brain"	"DN"	"DNfl995"	""	NA	"NO MATCH"	NA	"10096"
"FANC"	"648518346495986237"	"73256337597011981"	"L"	"brain"	"DN"	"DNfl996"	""	NA	"NO MATCH"	NA	"10430"
"FANC"	"648518346466522478"	"73608180915161261"	"R"	"brain"	"DN"	"DNfl997"	""	NA	"NO MATCH"	NA	"11212"
"FANC"	"648518346499635596"	"73678549927686382"	"R"	"brain"	"DN"	"DNfl998"	""	NA	"73115599974453205"	NA	"11325"
"FANC"	"648518346484042791"	"73115599974453205"	"L"	"brain"	"DN"	"DNfl998"	""	NA	"73115599974453205"	NA	"10013"
"FANC"	"648518346489926171"	"73397075018336285"	"R"	"brain"	"DN"	"DNfl999"	""	NA	"73397075085486890"	NA	"10686"
"FANC"	"648518346493069120"	"73397075085486890"	"R"	"brain"	"DN"	"DNfl999"	""	NA	"73397075085486890"	NA	"10643"
"FANC"	"648518346480418049"	"73256337194245824"	"L"	"brain"	"DN"	"DNg01"	""	NA	"73256337194245824"	NA	"10333"
"FANC"	"648518346491431486"	"73537812103752723"	"R"	"brain"	"DN"	"DNg01"	""	NA	"73256337194245824"	NA	"10882"
"FANC"	"648518346482762982"	"73537812103730867"	"R"	"brain"	"DN"	"DNg01"	""	NA	"73537812103730867"	NA	"10917"
"FANC"	"648518346496163959"	"73256337194235307"	"L"	"brain"	"DN"	"DNg01"	""	NA	"73537812103730867"	NA	"10304"
"FANC"	"648518346459520004"	"73256337194362184"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194362184"	NA	"10354"
"FANC"	"648518346489369708"	"73537812171084013"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194362184"	NA	"10892"
