"class"	"dataset"	"bodyid"	"cell_id"	"supervoxel_id"	"root_id"	"group"	"side"	"type"	"synonyms"	"soma_division"	"neuropil"	"neuropilgroup"	"cluster"	"hemilineage"	"manc_match_id"	"subclass"
"DN"	"FAFB"	NA	NA	"80577160490212942"	"720575940610863310"	"720575940610863310"	"L"	"DNg02_a"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577229209694928"	"720575940632573887"	"720575940610863310"	"L"	"DNg02_a"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888379349552866"	"720575940639201443"	"720575940610863310"	"R"	"DNg02_a"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888310630040561"	"720575940612014131"	"720575940610863310"	"R"	"DNg02_a"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888310630049523"	"720575940630289804"	"720575940610863310"	"R"	"DNg02_a"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490220373"	"720575940627414887"	"720575940613668620"	"L"	"DNg02_b"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490216591"	"720575940647964281"	"720575940613668620"	"L"	"DNg02_b"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490217929"	"720575940617498507"	"720575940613668620"	"L"	"DNg02_b"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888379349559271"	"720575940626904219"	"720575940613668620"	"R"	"DNg02_b"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888310630042900"	"720575940613793170"	"720575940613668620"	"R"	"DNg02_b"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
