class	supervoxel_id	root_id	group	side	type	synonyms	neuropil	neuropilgroup	confidence	SA subclass	xyz	x	y	z
AN	79944048085022549	720575940603453542	720575940603453542	R	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(135715, 83233, 5798)	135715	83233	5798
AN	79944048085026605	720575940628686423	720575940603453542	R	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(135783, 83108, 5798)	135783	83108	5798
AN	79944048085029478	720575940614528629	720575940603453542	R	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(135819, 83321, 5798)	135819	83321	5798
AN	79944048085021269	720575940618599150	720575940603453542	R	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(135858, 83373, 5798)	135858	83373	5798
AN	79521766900478102	720575940628820474	720575940603453542	L	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(129286, 82303, 5798)	129286	82303	5798
AN	79521766900477838	720575940638800437	720575940621567564	L	AN_AVLP_49		AVLP	AVLP_AMMC_WED	5		(129792, 81787, 5798)	129792	81787	5798
AN	79873610621379895	720575940621567564	720575940621567564	R	AN_AVLP_49		AVLP	AVLP_AMMC_WED	5		(134435, 82400, 5798)	134435	82400	5798
AN	79381098131582501	720575940610624682	720575940610624682	L	AN_AVLP_5		AVLP	AVLP_AMMC_WED	5		(127546, 83214, 5799)	127546	83214	5799
AN	79944116804498855	720575940615879965	720575940610624682	R	AN_AVLP_5		AVLP	AVLP_AMMC_WED	5		(135427, 84057, 5798)	135427	84057	5798
AN	79592135644638855	720575940621970445	720575940621970445	L	AN_AVLP_50		AVLP	AVLP_AMMC_WED	5		(130637, 81889, 5798)	130637	81889	5798
AN	79873610621379773	720575940629044854	720575940621970445	R	AN_AVLP_50		AVLP	AVLP_AMMC_WED	5		(134936, 82231, 5798)	134936	82231	5798
AN	79521766900478010	720575940623553936	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(129798, 82136, 5798)	129798	82136	5798
AN	79521766900481280	720575940609025092	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(129828, 81908, 5798)	129828	81908	5798
AN	79521766900479033	720575940626574504	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(129898, 81962, 5798)	129898	81962	5798
AN	79521766900480241	720575940612608790	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(129919, 82173, 5798)	129919	82173	5798
AN	79521766900473450	720575940616169787	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(129921, 82278, 5798)	129921	82278	5798
AN	79592135644645369	720575940620257750	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(130132, 82153, 5798)	130132	82153	5798
AN	79592135644647865	720575940622136573	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(130209, 82041, 5798)	130209	82041	5798
AN	79592135644645398	720575940619841886	720575940609025092	L	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(130308, 82209, 5798)	130308	82209	5798
AN	79873679340849985	720575940627239336	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(134527, 83204, 5798)	134527	83204	5798
AN	79873679340852818	720575940639746979	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(134595, 83223, 5798)	134595	83223	5798
AN	79873679340847124	720575940614380771	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(134785, 83016, 5798)	134785	83016	5798
AN	79873679340847178	720575940614398570	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(134874, 83110, 5798)	134874	83110	5798
AN	79873679340845775	720575940629008655	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(134888, 83028, 5798)	134888	83028	5798
AN	79873679340847084	720575940622239553	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(134950, 82971, 5798)	134950	82971	5798
AN	79873679340844333	720575940632632474	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(135057, 82965, 5798)	135057	82965	5798
AN	79944048085022206	720575940629087682	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(135192, 82782, 5798)	135192	82782	5798
AN	79944048085022402	720575940625140755	720575940609025092	R	AN_AVLP_51		AVLP	AVLP_AMMC_WED	5		(135209, 83062, 5798)	135209	83062	5798
AN	79451604247770438	720575940627022824	720575940620706486	L	AN_AVLP_52		AVLP	AVLP_AMMC_WED	5		(128335, 85571, 5382)	128335	85571	5382
