xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract
(38060, 75200, 1645)	38060	75200	1645	73326706140075936	648518346496523093	L	R	AN	AN08B053	
(38006, 75200, 1634)	38006	75200	1634	73326706140054407	648518346515847498	L	R	AN	AN05B104	
(38041, 75200, 1612)	38041	75200	1612	73326706139988891	648518346494730517	L	L	AN	ANXXX250	
(37763, 75200, 1623)	37763	75200	1623	73326706140023061	648518346513901849	L	R	AN	AN10B005	
(37971, 75200, 1629)	37971	75200	1629	73326706140044600	648518346481612481	L	R	AN	AN08B050	
(37822, 75200, 1635)	37822	75200	1635	73326706140056930	648518346486599089	L	R	AN	AN08B106	
(37777, 75200, 1644)	37777	75200	1644	73326706140071051	648518346489992279	L	R	AN	AN08B998	
(37893, 75200, 1643)	37893	75200	1643	73326706140049505	648518346491414184	L	R	AN	AN08B069	
(37985, 75200, 1648)	37985	75200	1648	73326706140073416	648518346459921412	L	R	AN	AN08B103	
(37905, 75200, 1659)	37905	75200	1659	73326706140341688	648518346489859965	L	R	AN	AN08B041	
(37711, 75200, 1649)	37711	75200	1649	73326706140081002	648518346488658825	L	R	AN	AN08B096	
(37773, 75200, 1652)	37773	75200	1652	73326706140088419	648518346489721783	L	R	AN	AN08B993	
(37742, 75200, 1656)	37742	75200	1656	73326706140098578	648518346506773538	L	R	AN	AN08B097	
(37796, 75200, 1658)	37796	75200	1658	73326706140109396	648518346480959709	L	R	AN	AN08B097	
(37796, 75200, 1669)	37796	75200	1669	73326706140137164	648518346501017187	L	R	AN	AN08B102	
(37834, 75200, 1678)	37834	75200	1678	73326706206856038	648518346484711683	L	R	AN	AN08B024	
(37994, 75200, 1673)	37994	75200	1673	73326706140157869	648518346526447319	L	R	AN	AN08B109	
(37942, 75200, 1680)	37942	75200	1680	73326706206833202	648518346479024080	L	R	AN	AN08B112	
(38048, 75200, 1680)	38048	75200	1680	73326706206922656	648518346466136112	L	R	AN	AN08B028	
(38121, 75200, 1693)	38121	75200	1693	73326706206970145	648518346482915113	L	L	AN	AN23B010	
(38277, 75200, 1678)	38277	75200	1678	73326706206786126	648518346515329786	L	R	AN	AN08B034	
(38324, 75200, 1704)	38324	75200	1704	73326706206990462	648518346466572398	L	R	AN	AN10B015	
(37942, 75200, 1698)	37942	75200	1698	73326706206970152	648518346517545770	L	R	AN	AN08B018	
(37636, 75200, 1707)	37636	75200	1707	73326706206990436	648518346501571928	L	R	AN	ANXXX057	
(37803, 75200, 1702)	37803	75200	1702	73326706206990474	648518346503962785	L	R	AN	AN08B996	
(37808, 75200, 1721)	37808	75200	1721	73326706207026070	648518346481679293	L		DN	DNg24	VTV
(37664, 75200, 1653)	37664	75200	1653	73326706140085898	648518346496468343	L	R	AN	AN08B095	
(37582, 75200, 1662)	37582	75200	1662	73326706140103788	648518346507485817	L	R	AN	AN08B081	
(37650, 75200, 1660)	37650	75200	1660	73326706140124887	648518346499707367	L	R	AN	AN08B995	
(37704, 75200, 1659)	37704	75200	1659	73326706140112539	648518346494781317	L	R	AN	AN08B994	
(37721, 75200, 1665)	37721	75200	1665	73326706140103727	648518346501386637	L	R	AN	AN08B101	
(37641, 75200, 1667)	37641	75200	1667	73326706140252118	648518346478311540	L	R	AN	AN08B099	
(37560, 75200, 1672)	37560	75200	1672	73326706140137142	648518346486726833	L	R	AN	AN08B098	
(37450, 75200, 1679)	37450	75200	1679	73326706206783247	648518346497660406	L	R	AN	AN08B013	
(37549, 75200, 1677)	37549	75200	1677	73326706206908960	648518346524278021	L	R	AN	AN08B099	
(37490, 75200, 1683)	37490	75200	1683	73326706206927961	648518346517066277	L	R	AN	AN08B098	
(37459, 75200, 1691)	37459	75200	1691	73326706206945497	648518346496230758	L	R	AN	AN08B098	
(37530, 75200, 1694)	37530	75200	1694	73326706206965285	648518346501142940	L	L	AN	AN04A001	
(37584, 75200, 1687)	37584	75200	1687	73326706206942905	648518346503060467	L	R	AN	AN08B113	
(37556, 75200, 1683)	37556	75200	1683	73326706206940008	648518346502593447	L	R	AN	AN08B996	
