class	bodyid	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	FANC_group	confidence_fanc_match_1_5
DN	25630	25630	L	DNg72	DNxl039	genie		DMT	g	brain	xl	GLUT	0.9575952067	73185968718619560	648518346500297020	73608181183940073	5
DN	70285	25630	R	DNg72	DNxl039	genie		DMT	g	brain	xl	GLUT	0.9501810021	73608181183940073	648518346491960620	73608181183940073	5
DN	26464	26464	L	DNg72	DNxl069			DMT	g	brain	xl	GLUT	0.9353842124				
DN	26744	26464	R	DNg72	DNxl069			DMT	g	brain	xl	GLUT	0.9616548363	73608181183896646	648518346511100981	NO MATCH	4
DN	18815	18815	L	DNg73	DNnt005			none	g	brain	nt	unk	0.6218049245	73115599907363321	648518346498168146	73608181183791648	5
DN	19010	18815	R	DNg73	DNnt005			none	g	brain	nt	unk	0.5446841591	73608181183791648	648518346492163523	73608181183791648	5
DN	10466	10466	R	DNg74	DNxl040	web		DLT	g	brain	xl	GABA	0.9298824659	73608181116711916	648518346494080626	73115599907475836	5
DN	10532	10466	L	DNg74	DNxl040	web		DLT	g	brain	xl	GABA	0.9497859378	73115599907475836	648518346514032921	73115599907475836	5
DN	10103	10103	R	DNg74	DNxl041	web		DLT	g	brain	xl	GABA	0.9120744191	73678549927792879	648518346474363330	73115599907481731	5
DN	10107	10103	L	DNg74	DNxl041	web		DLT	g	brain	xl	GABA	0.9551556451	73115599907481731	648518346478690132	73115599907481731	5
DN	11354	11264	L	DNg75	DNxl042			DLT	g	brain	xl	ACH	0.9386624397	73115599907383116	648518346491468218	73115599907383116	4
DN	11264	11264	R	DNg75	DNxl042			DLT	g	brain	xl	ACH	0.9308575985	73608181049652350	648518346493854265	73115599907383116	4
DN	15829	15829	L	DNg76	DNxn063			DLT	g	brain	xn	ACH	0.8499560996	73115599907471815	648518346479708404	73115599907471815	5
DN	16511	15829	R	DNg76	DNxn063			DLT	g	brain	xn	ACH	0.8154540251	73608181116706790	648518346495562384	73115599907471815	5
DN	37405	37405	R	DNg77	DNit002	snake		MDA	g	brain	it	ACH	0.9450062456	73397074884074379	648518346509788454	73326706139864082	3
DN	49745	37405	R	DNg77	DNit002	snake		MDA	g	brain	it	ACH	0.9286250493	73326706139864082	648518346517644136	73326706139864082	3
DN	16813	16813	L	DNg78	DNxn064			none	g	brain	xn	ACH	0.8616547866	73256337261506445	648518346478770384	73537812171192909	5
DN	18207	16813	R	DNg78	DNxn064			none	g	brain	xn	ACH	0.7671963628	73537812171192909	648518346498893633	73537812171192909	5
DN	15934	15576	L	DNg79	DNxn065			MTD-I	g	brain	xn	ACH	0.9583103094	73326706140037214	648518346483058340	73537812439519078	5
DN	16706	15576	R	DNg79	DNxn065			MTD-I	g	brain	xn	ACH	0.9500125815	73537812439513929	648518346490152714	73537812439519078	5
DN	15578	15576	R	DNg79	DNxn065			MTD-I	g	brain	xn	ACH	0.9402207491	73537812439519078	648518346487220371	73537812439519078	5
DN	15576	15576	L	DNg79	DNxn065			MTD-I	g	brain	xn	ACH	0.9586049133	73326706139976521	648518346477792749	73537812439519078	5
