class	cell_id	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	manc_match_id	manc_group	manc_type	fanc_type	xyz
AN	13794	73678549793757871	648518346498173522	648518346466794350	L	AN19B051	AN19B051			A3	ad	19B	153575	23060	AN19B051		(47551, 75200, 1538)
AN	13736	73115599907378455	648518346515853898	648518346466794350	R	AN19B051	AN19B051			A3	ad	19B	153808	23060	AN19B051		(31134, 75200, 1595)
AN	13163	73608181049541965	648518346480531713	648518346480531713	L	AN19B059	AN19B059			T3	ht	19B	35750	19461	AN19B059		(46653, 75200, 1467)
AN	13116	73185968584592280	648518346496109068	648518346480531713	R	AN19B059	AN19B059			T3	ht	19B	19461	19461	AN19B059		(33031, 75200, 1531)
AN	13151	73608181049673144	648518346500279221	648518346480531713	L	AN19B059	AN19B059			T3	ht	19B	16700	19461	AN19B059		(46501, 75200, 1516)
AN	13119	73608181049489521	648518346507240057	648518346480531713	L	AN19B059	AN19B059			T3	ht	19B	21049	17554	AN19B059		(46419, 75200, 1449)
AN	13092	73185968584576611	648518346531123482	648518346480531713	R	AN19B059	AN19B059			T3	ht	19B	18384	19461	AN19B059		(33759, 75200, 1521)
AN	13159	73608181049605944	648518346472245707	648518346472245707	L	AN19B060	AN19B060			T3	ht	19B	20670	16587	AN19B060		(46428, 75200, 1494)
AN	13216	73608181049537030	648518346479621270	648518346472245707	L	AN19B060	AN19B060			T3	ht	19B	18872	16587	AN19B060		(46519, 75200, 1469)
AN	13087	73185968584573982	648518346480712672	648518346472245707	R	AN19B060	AN19B060			T3	ht	19B	21841	16587	AN19B060		(33294, 75200, 1521)
AN	13100	73185968584576562	648518346486599117	648518346472245707	R	AN19B060	AN19B060			T3	ht	19B	16587	16587	AN19B060		(33743, 75200, 1526)
AN	13153	73608181049537034	648518346481263461	648518346481263461	L	AN19B061	AN19B061			T3	ht	19B	18786	18786	AN19B061		(46397, 75200, 1467)
AN	13154	73185968584599963	648518346494731541	648518346481263461	R	AN19B061	AN19B061			T3	ht	19B	18367	18367	AN19B061		(33242, 75200, 1532)
AN	13147	73608181049531948	648518346496504661	648518346481263461	L	AN19B061	AN19B061			T3	ht	19B	23534	18367	AN19B061		(46441, 75200, 1462)
AN	13160	73185968584613331	648518346515854154	648518346481263461	R	AN19B061	AN19B061			T3	ht	19B	19324	18786	AN19B061		(33162, 75200, 1538)
AN	13117	73185968584715100	648518346481960637	648518346481960637	R	AN19B063	AN19B063			T3	ht	19B	19245	19245	AN19B063		(33014, 75200, 1540)
AN	13210	73185968651371368	648518346492998064	648518346481960637	R	AN19B063	AN19B063			T3	ht	19B	18393	18393	AN19B063		(33002, 75200, 1548)
AN	13161	73608181049575058	648518346496169045	648518346481960637	L	AN19B063	AN19B063			T3	ht	19B	25478	19245	AN19B063		(46363, 75200, 1477)
AN	13167	73608181049593449	648518346521668345	648518346481960637	L	AN19B063	AN19B063			T3	ht	19B	36481	18393	AN19B063		(46312, 75200, 1488)
AN	13112	73185968651318408	648518346486687740	648518346486687740	R	AN19B065	AN19B065			T3	ht	19B	18547	16148	AN19B065		(33073, 75200, 1546)
AN	13104	73185968584592284	648518346488004126	648518346486687740	R	AN19B065	AN19B065			T3	ht	19B	15979	15901	AN19B065		(33177, 75200, 1530)
AN	13129	73608181049559845	648518346488747498	648518346486687740	L	AN19B065	AN19B065			T3	ht	19B	16148	16148	AN19B065		(46528, 75200, 1474)
AN	13106	73608181049593506	648518346490131162	648518346486687740	L	AN19B065	AN19B065			T3	ht	19B	15901	15901	AN19B065		(46401, 75200, 1490)
AN	13139	73608181049549671	648518346490777635	648518346490777635	L	AN19B074	AN19B074			T3	ht	19B	19885	19885	AN19B074		(46461, 75200, 1470)
AN	13132	73185968584597266	648518346495567183	648518346490777635	R	AN19B074	AN19B074			T3	ht	19B	20506	19885	AN19B074		(33354, 75200, 1533)
AN	13146	73608181049484265	648518346488178462	648518346488178462	L	AN19B076	AN19B076			T3	ht	19B	36986	18637	AN19B076		(46285, 75200, 1445)
AN	13184	73608181049529497	648518346502869115	648518346488178462	L	AN19B076	AN19B076			T3	ht	19B	21240	21240	AN19B076		(46365, 75200, 1459)
AN	13107	73185968584613270	648518346508965951	648518346488178462	R	AN19B076	AN19B076			T3	ht	19B	18637	18637	AN19B076		(33282, 75200, 1537)
AN	13168	73185968584589707	648518346531109402	648518346488178462	R	AN19B076	AN19B076			T3	ht	19B	166827	21240	AN19B076		(33365, 75200, 1525)
AN	13110	73185968584568682	648518346480490555	648518346480490555	R	AN19B079	AN19B079			T3	ht	19B	21504	18662	AN19B079		(33422, 75200, 1519)
AN	13198	73608181049564741	648518346482888233	648518346480490555	L	AN19B079	AN19B079			T3	ht	19B	21503	18408	AN19B079		(46303, 75200, 1479)
AN	13165	73608181049516933	648518346488408760	648518346480490555	L	AN19B079	AN19B079			T3	ht	19B	18662	18662	AN19B079		(46305, 75200, 1451)
AN	13152	73185968584592255	648518346493962609	648518346480490555	R	AN19B079	AN19B079			T3	ht	19B	21686	18408	AN19B079		(32980, 75200, 1530)
AN	13123	73185968584643711	648518346499829388	648518346480490555	R	AN19B079	AN19B079			T3	ht	19B	22632	18408	AN19B079		(32942, 75200, 1543)
AN	13140	73185968584624967	648518346515392583	648518346480490555	R	AN19B079	AN19B079			T3	ht	19B	18408	18408	AN19B079		(32951, 75200, 1536)
AN	13149	73608181049549639	648518346520753718	648518346480490555	L	AN19B079	AN19B079			T3	ht	19B	43240	18408	AN19B079		(46276, 75200, 1472)
AN	13131	73608181049569624	648518346486082450	648518346486082450	L	AN19B093	AN19B093			T3	ht	19B	25978	22975	AN19B093		(46541, 75200, 1486)
AN	13192	73185968584618429	648518346489779127	648518346486082450	R	AN19B093	AN19B093			T3	ht	19B	21892	21892	AN19B093		(33439, 75200, 1533)
AN	13126	73185968584587264	648518346495948134	648518346486082450	R	AN19B093	AN19B093			T3	ht	19B	22975	22975	AN19B093		(33274, 75200, 1527)
AN	13102	73537812238399716	648518346498020967	648518346486082450	L	AN19B093	AN19B093			T3	ht	19B	22019	21892	AN19B093		(44585, 75200, 1387)
AN	13105	73608181049665881	648518346490768675	648518346490768675	L	AN19B098	AN19B098			T3	ht	19B	20839	25588	AN19B098		(46290, 75200, 1506)
AN	13118	73608180982508963	648518346498098074	648518346490768675	L	AN19B098	AN19B098			T3	ht	19B	18091	16610	AN19B098		(45194, 75200, 1366)
AN	13816	73116287102325814	648518346492941042	648518346490768675	R	AN19B098	AN19B098			T3	ht	19B	25588	25588	AN19B098		(30767, 94394, 1634)
AN	13169	73608181049519298	648518346474677442	648518346474677442	L	AN19B099	AN19B099			T3	ht	19B	23738	23738	AN19B099		(46492, 75200, 1459)
AN	13094	73185968584613436	648518346495947115	648518346474677442	R	AN19B099	AN19B099			T3	ht	19B	25076	24321	AN19B099		(33336, 75200, 1540)
AN	13209	73608181049531916	648518346497808886	648518346474677442	L	AN19B099	AN19B099			T3	ht	19B	24321	24321	AN19B099		(46568, 75200, 1464)
AN	13080	73185968584584781	648518346515834618	648518346474677442	R	AN19B099	AN19B099			T3	ht	19B	27395	23738	AN19B099		(33547, 75200, 1519)
AN	13120	73608180982514413	648518346488703160	648518346488703160	L	AN19B100	AN19B100			T3	ht	19B	24363	24363	AN19B100		(45178, 75200, 1368)
AN	13137	73185968584750681	648518346489914295	648518346489914295	R	AN19B101	AN19B101			T3	ut	19B	27381	20863	AN19B101		(33429, 75200, 1542)
AN	13158	73608181049502231	648518346493562360	648518346489914295	L	AN19B101	AN19B101			T3	ut	19B	24112	24112	AN19B101		(46374, 75200, 1452)
AN	13173	73537812171192843	648518346496066935	648518346489914295	L	AN19B101	AN19B101			T3	ut	19B	20863	20863	AN19B101		(43216, 75200, 1242)
AN	13744	73326705938504438	648518346521447417	648518346489914295	R	AN19B101	AN19B101			T3	ut	19B	25878	24112	AN19B101		(36928, 75200, 1288)
AN	13109	73185968584587313	648518346475738548	648518346475738548	R	AN19B102	AN19B102			T3	ht	19B	35109	15485	AN19B102		(33208, 75200, 1528)
AN	13188	73608181049534534	648518346486908924	648518346475738548	L	AN19B102	AN19B102			T3	ht	19B	15485	15485	AN19B102		(46252, 75200, 1463)
AN	13115	73537812305498282	648518346467398151	648518346467398151	L	AN19B104	AN19B104		dimorphic morphology	T3	ht	19B	27383	25146	AN19B104		(44227, 75200, 1514)
AN	13162	73537812305535816	648518346481455717	648518346467398151	L	AN19B104	AN19B104		dimorphic morphology	T3	ht	19B	26027	25146	AN19B104		(43956, 75200, 1527)
AN	13096	73256337328693187	648518346486723761	648518346467398151	R	AN19B104	AN19B104		dimorphic morphology	T3	xn	19B	25320	25320	AN19B104		(35993, 75200, 1476)
AN	13085	73185968584515668	648518346490296785	648518346467398151	R	AN19B104	AN19B104		dimorphic morphology	T3	ht	19B	25000	25146	AN19B104		(33997, 75200, 1497)
AN	13066	73185968584584814	648518346490777208	648518346467398151	R	AN19B104	AN19B104		dimorphic morphology	T3	ht	19B	25856	25146	AN19B104		(33437, 75200, 1525)
