dn_type	LM_stack_id	URL	slide_code_notes	VFB_IDs	synonyms	reference	notes
DNg102	VT038149-20171103_62_E5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171103_62_E5					
DNg103	R65B04-20190705_63_C2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190705_63_C2					
DNg104	VT061714_20180619_62_C6	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180619_62_C6	blue channel neuron				
DNg105	VT046785-20171208_65_E4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171208_65_E4					
DNg106	VT062260-20200207_62_I1	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20200207_62_I1			contained in line R78A01 together with DNg08		
DNg107	SS85267-20211119_42_A2	not online	(not online) sex not specified				
DNg108	VT032783-20180504_64_C4-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180504_64_C4	red channel neuron				
DNg109	VT025523-20191101_64_C3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191101_64_C3					
DNg110	SS95560	not online	(not online)				
DNg111	R52D09_20190123_63_B4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190123_63_B4	green channel neuron				
DNp01	SS02299-20141216_31_I1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141216_31_I1		FBbt_00047634, FBbt_00004020	GF, Giant Fiber	https://doi.org/10.1007/BF00603798	
DNp02	SS01544-20140718_31_D2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140718_31_D2		FBbt_00047635, FBbt_00111485	P3b	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNp03	SS01081-20140623_34_E2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_34_E2					
DNp04	SS01080-20140623_34_D1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_34_D1					
DNp05	R79D11-20181109_65_D2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181109_65_D2		FBbt_00047638, FBbt_00111494	AMMC-Db2	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNp06	SS02256-20141209_31_G2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_G2		FBbt_00047639, FBbt_00111490	AMMC-Di5	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNp07	SS02276-20141209_32_C4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_32_C4					
